"movieNm","movieCd"
"열혈남아","20060261"
"인디애니유랑단_가족을 위한 수다","20111245"
"흐르다","20111255"
"극장판 도라에몽: 진구와 철인군단 날아라 천사들","20111702"
"7광구","20119513"
"기생령","20110609"
"간츠","20111083"
"퍼스트 어벤져","20111113"
"링크","20098316"
"짐승","20111874"
"써니 감독판","20111250"
"양과자점 코안도르","20110986"
"명탐정 코난 : 침묵의 15분","20110911"
"브리가둔","20111586"
"두근두근 성호월드 1","20111941"
"최종병기 활","20110302"
"킬리만자로의 눈","19528002"
"로봇","20111825"
"암흑가의 세 사람","19708040"
"에일리언 비키니","20110131"
"극장판 메이저 : 우정의 강속구","20111533"
"히트","19958426"
"천년호","19698052"
"원스","20070454"
"말할 수 없는 비밀","20071066"
"디어헌터","19790082"
"현기증","19588006"
"카를로스","20110275"
"을화","19790055"
"결혼","20111636"
"감자","19880011"
"인 마이 슬립","20111881"
"천국의 문","19808231"
"캣 피플","19428015"
"이티","20020328"
"갈매기","20111634"
"카르멘이란 이름","20111637"
"개구쟁이 스머프","20111540"
"행오버 2","20111692"
"선물 가게를 지나야 출구","20111927"
"원라이프","20111532"
"돈비 어프레이드 : 어둠 속의 속삭임","20112141"
"카우보이 & 에이리언","20111757"
"로맨틱 크라운","20112117"
"3xFTM","20080576"
"""다시 태어나고 싶어요, 안양에""","20119981"
"간츠: 퍼펙트 앤서","20111958"
"남태평양","19588005"
"샤오린 : 최후의 결전","20111418"
"홍길동 2084","20111468"
"뽕똘","20101247"
"어이그 저 귓것","20119891"
"피크닉","19558004"
"대도적","19748151"
"봄날은 간다","20010013"
"8월의 크리스마스","19980036"
"여행자","20090328"
"부산국제어린이영화제-작은 나래모음(3)","20111783"
"혹성탈출: 진화의 시작","20110896"
"요화 배정자","20111488"
"브로큰 임브레이스","20090588"
"바다","20100566"
"샤넬과 스트라빈스키","20111926"
"북촌방향","20110254"
"도쿄택시","20100049"
"브로크백 마운틴","20060040"
"재스퍼","20112142"
"드라이브 앵그리 3D","20111891"
"겨울냄새","20112002"
"밀월도 가는 길","20112018"
"작별들","20119872"
"십년세도(十年勢道)","20111469"
"고스트 + 퍼플맨 + 불멸의 사나이 + 폭력의 미학","20112033"
"술에 대하여 - 극장판","20112176"
"U.F.O.","20111686"
"이방인들","20112019"
"환타스틱 모던가야그머","20111973"
"CINDI2011_서프라이즈","20112153"
"싸이코","19608012"
"새","19630015"
"퍼블릭 에너미 넘버원","20112049"
"환호성","20111932"
"라이프 인 어 데이","20112037"
"콜롬비아나","20111671"
"""수선화 + 소굴 + 이상,한가역반응""","20112020"
"잠자는 숲속의 미녀","20112059"
"푸른소금","20110301"
"댄스타운","20101195"
"""신들의 땅, 앙코르""","20111899"
"바다사자를 찾아서","20112205"
"필름 소셜리즘","20111629"
"세 얼간이 감독판","20112151"
"내 여자친구의 결혼식","20112121"
"서태지 모아이 : 더 필름","20112206"
"셰인","19538019"
"소걸아: 취권의 창시자","20112172"
"모차르트 타운","20119542"
"로망은 없다","20090842"
"챔프","20112082"
"가문의 영광4 - 가문의 수난","20112272"
"저 언덕을 넘어서","19688115"
"러브 미 텐더","20111491"
"아나스타샤","19970321"
"잘 알지도 못하면서","20090261"
"고래를 찾는 자전거","20111461"
"거위도 난다","20110670"
"파이널 데스티네이션5","20112050"
"릴라 릴라","20112316"
"지상에서 영원으로","19538016"
"나넬 모차르트","20112232"
"샤크 나이트 3D","20112132"
"쥴리의 육지 대모험","20111536"
"극장판 아따맘마3D : 엄마는 초능력자","20112163"
"킬러 엘리트","20111893"
"도가니","20112534"
"아리랑","20110239"
"챔프","19790104"
"미워도 다시 한번","20081069"
"시간","20060228"
"소중한 사람","20112222"
"무간도","20030010"
"숨","20070098"
"가을비 우산속에","19790046"
"안녕하세요","20112344"
"사랑하는 사람아","19819019"
"현금에 손대지 마라","20111631"
"2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉","20100030"
"투혼","20112552"
"꽁치의 맛","19620056"
"동경의 황혼","20112341"
"안나 카레니나","19488007"
"더 리더: 책 읽어주는 남자","20090065"
"카운트다운","20111914"
"라 비앙 로즈","20070522"
"도쿄타워","20050284"
"피안화","20112342"
"어브덕션","20111892"
"만춘","20112335"
"오만과 편견","20060033"
"컨테이젼","20112175"
"영광의 길","19578024"
"2011칸라이언즈수상작A편","20112641"
"레드마리아","20100551"
"두 개의 문","20112443"
"인디애니페스트2011-국내스페셜-집","20112604"
"굿바이 홈런","20112457"
"Jam Docu 강정","20112517"
"달팽이의 별","20100752"
"새로운 학교-학생인권 이등변삼각형의 빗변 길이는?","20112464"
"의뢰인","20110613"
"삼총사 3D","20112651"
"모래","20119821"
"프로젝트 님","20112501"
"맥추","20112337"
"아르마딜로","20112482"
"스톤","20112741"
"""독도야, 반갑다""","20112743"
"히트","20112221"
"은어","20112591"
"쓰리","20112347"
"코쿠리코 언덕에서","20112303"
"유투 3D","20112764"
"쉬즈 더 원 2","20112636"
"씨민과 나데르의 별거","20112541"
"메란타우","20112612"
"용형호제 ","19870089"
"헬프","20112763"
"오차즈케의 맛","20112339"
"여행","20100019"
"꽃네","20111490"
"네파리우스","20112683"
"영광의 탈출","20112765"
"완득이","20112695"
"네 번","20112671"
"신사는 금발을 좋아해","20101130"
"""[제5회 여성인권영화제, 피움 2011]여전히 아무도 모른다1""","20112714"
"""[제5회 여성인권영화제, 피움 2011]경쟁부문3""","20112728"
"지골라","20112751"
"밴드 명: 올 댓 아이 러브","20112705"
"언피니시드","20112209"
"더 스토닝","20112715"
"리얼 스틸","20112173"
"오늘","20110322"
"트리 오브 라이프","20112622"
"어느날 밤에 생긴 일","20112771"
"""리벤지, 미친 사랑 이야기""","20111971"
"스파이 파파","20112181"
"흉터","20111399"
"오직 그대만","20112589"
"비우티풀","20112314"
"유혹","20112772"
"브로큰 러브송","20112823"
"냉정과 열정사이","20070458"
"익사에서 구조된 부뒤","20112809"
"검은 수선화","20112921"
"슬리핑 뷰티","20112797"
"마징카이저","20112939"
"프루이트 아이고","20112801"
"한일단편애니메이션열전-임팩트1","20112902"
"핑크","20112702"
"훈장과 악동들","20112940"
"잔다르크","20112766"
"커플즈","20110612"
"사운드 오브 뮤직","19780066"
"볼로뉴 숲의 여인들","20119196"
"훔친 키스","20081340"
"Mr.아이돌","20113001"
"청원","20112822"
"무셰트","20100199"
"위도","20112632"
"최종병기 활 감독확장판","20112911"
"백사부인","20112773"
"파라노말 액티비티 3","20112693"
"워리어","20112611"
"세나: F1의 신화","20111114"
"안소니퀸의 길","20111102"
"[SIAFF]인사이드 피아노+죽은 자의 정원: 카를로 스카르파","20112802"
"비트윈 숏 앤 숏","20112804"
"더 킥","20112208"
"벤허","19590006"
"프렌즈 위드 베네핏","20112821"
"천상의 길 차마고도 극장판","20081193"
"독도 korea","20112880"
"어머니의 백 번째 가을날","20112876"
"인 타임","20112704"
"돼지의 왕","20111031"
"20년 전의 약속","20112875"
